Input (Roman),Predicted (Devanagari),True (Devanagari),Match
antarmukh,अंतर्मुख,अंतर्मुख,True
antrmukh,अंतर्मुख,अंतर्मुख,True
akhand,अखंड,अखंड,True
akhil,अखिल,अखिल,True
agsta,अगस्ता,अगस्ता,True
agra,अग्र,अग्र,True
atke,अटके,अटके,True
athak,अथक,अथक,True
advait,अद्वैत,अद्वैत,True
anaavashyak,अनावश्यक,अनावश्यक,True
anawashyak,अनावश्यक,अनावश्यक,True
anuprayogon,अनुप्रयोगों,अनुप्रयोगों,True
anupryogon,अनुप्रयोगों,अनुप्रयोगों,True
anureet,अनुरीत,अनुरीत,True
anyay,अन्याय,अन्याय,True
anyaya,अन्याय,अन्याय,True
aparivartansheel,अपरिवर्तनशील,अपरिवर्तनशील,True
aparivartanshil,अपरिवर्तनशील,अपरिवर्तनशील,True
apvartit,अपवर्तित,अपवर्तित,True
apaardarshi,अपारदर्शी,अपारदर्शी,True
afroj,अफरोज,अफरोज,True
afroz,अफरोज,अफरोज,True
amargad,अमरगढ़,अमरगढ़,True
amargarh,अमरगढ़,अमरगढ़,True
amarohi,अमरोही,अमरोही,True
amuk,अमुक,अमुक,True
arbab,अरबाब,अरबाब,True
urgent,अर्जेंट,अर्जेंट,True
arth,अर्थ,अर्थ,True
aryama,अर्यमा,अर्यमा,True
alnkaron,अलंकारों,अलंकारों,True
algavwaadi,अलगाववादी,अलगाववादी,True
ali,अली,अली,True
alii,अली,अली,True
alba,अल्बा,अल्बा,True
avantipur,अवंतिपुर,अवंतिपुर,True
avishvaasniy,अविश्वसनीय,अविश्वसनीय,True
avishvasniy,अविश्वसनीय,अविश्वसनीय,True
avishvasniya,अविश्वसनीय,अविश्वसनीय,True
ashktta,अशक्तता,अशक्तता,True
aset,असेट,असेट,True
aswbhavik,अस्वभाविक,अस्वभाविक,True
ounce,आउंस,आउंस,True
aagaman,आगमन,आगमन,True
aagman,आगमन,आगमन,True
aatmayen,आत्माएं,आत्माएं,True
aamdan,आमदन,आमदन,True
aamdani,आमदनी,आमदनी,True
aayenge,आयेंगे,आयेंगे,True
aaram,आराम,आराम,True
aalochakon,आलोचकों,आलोचकों,True
aahnaan,आह्नान,आह्नान,True
aahnan,आह्नान,आह्नान,True
ilaaj,इलाज,इलाज,True
ishaaq,इशाक,इशाक,True
ea,ईए,ईए,True
eater,ईटर,ईटर,True
isaaiyon,ईसाइयों,ईसाइयों,True
isaiyon,ईसाइयों,ईसाइयों,True
uchhalane,उछालने,उछालने,True
uchhalne,उछालने,उछालने,True
uthne,उठने,उठने,True
upadrawon,उपद्रवों,उपद्रवों,True
urf,उर्फ,उर्फ,True
urff,उर्फ,उर्फ,True
urvarakon,उर्वरकों,उर्वरकों,True
urwarakon,उर्वरकों,उर्वरकों,True
usmen,उसमें,उसमें,True
ekaki,एकाकी,एकाकी,True
egmore,एगमोर,एगमोर,True
emerald,एमरल्ड,एमरल्ड,True
emil,एमिल,एमिल,True
eyarave,एयरवे,एयरवे,True
allergic,एलर्जिक,एलर्जिक,True
sfc,एसएफसी,एसएफसी,True
ehsaas,एहसास,एहसास,True
ehsas,एहसास,एहसास,True
ail,ऐल,ऐल,True
oxide,ऑक्साइड,ऑक्साइड,True
obrayan,ओब्रायन,ओब्रायन,True
auchitya,औचित्य,औचित्य,True
aurora,औरोरा,औरोरा,True
kangan,कंगन,कंगन,True
kanblon,कंबलों,कंबलों,True
kanal,कनाल,कनाल,True
kaningham,कनिंघम,कनिंघम,True
kanishthika,कनिष्ठिका,कनिष्ठिका,True
kanishthikaa,कनिष्ठिका,कनिष्ठिका,True
kanyaayen,कन्याएं,कन्याएं,True
kanyayen,कन्याएं,कन्याएं,True
convocation,कन्वोकेशन,कन्वोकेशन,True
kamate,कमाते,कमाते,True
kmere,कमेरे,कमेरे,True
kasarat,कसरत,कसरत,True
kanji,कांजी,कांजी,True
kaylana,कायलाना,कायलाना,True
karybhar,कार्यभार,कार्यभार,True
qasim,कासिम,कासिम,True
kisaani,किसानी,किसानी,True
keede,कीड़े,कीड़े,True
kundal,कुंडल,कुंडल,True
kumawat,कुमावत,कुमावत,True
kural,कुराल,कुराल,True
caitlyn,कैटलिन,कैटलिन,True
cavity,कैविटी,कैविटी,True
korola,कोरोला,कोरोला,True
krantiyon,क्रांतियों,क्रांतियों,True
chrom,क्रोम,क्रोम,True
khajraana,खजराना,खजराना,True
khate,खाते,खाते,True
khal,खाल,खाल,True
khinchakar,खिंचकर,खिंचकर,True
khinchkar,खिंचकर,खिंचकर,True
khairati,खैराती,खैराती,True
gangajal,गंगाजल,गंगाजल,True
gatisheel,गतिशील,गतिशील,True
gammat,गम्मत,गम्मत,True
garjana,गर्जना,गर्जना,True
gaanth,गांठ,गांठ,True
girjaghar,गिरजाघर,गिरजाघर,True
girati,गिरती,गिरती,True
guan,गुआन,गुआन,True
guthalidar,गुठलीदार,गुठलीदार,True
goyal,गोयल,गोयल,True
greest,ग्रीस्ट,ग्रीस्ट,True
gross,ग्रॉस,ग्रॉस,True
ghisi,घिसी,घिसी,True
ghontane,घोंटने,घोंटने,True
chandan,चंदन,चंदन,True
chkkar,चक्कर,चक्कर,True
chatgaon,चटगांव,चटगांव,True
charit,चरित,चरित,True
charts,चार्ट्स,चार्ट्स,True
chidchidapan,चिड़चिड़ापन,चिड़चिड़ापन,True
chidhate,चिढ़ते,चिढ़ते,True
chidhte,चिढ़ते,चिढ़ते,True
chithrkar,चित्रकार,चित्रकार,True
chipakane,चिपकने,चिपकने,True
chi,ची,ची,True
chuka,चुका,चुका,True
chetti,चेट्टी,चेट्टी,True
chowk,चौक,चौक,True
chhagan,छगन,छगन,True
chhuptaa,छुपता,छुपता,True
chhetr,छेत्र,छेत्र,True
chhetthri,छेत्री,छेत्री,True
jadein,जड़ें,जड़ें,True
jaden,जड़ें,जड़ें,True
janajagran,जनजागरण,जनजागरण,True
janjaagran,जनजागरण,जनजागरण,True
jamati,जमाती,जमाती,True
jarakh,जरख,जरख,True
zarakh,जरख,जरख,True
jarda,जर्दा,जर्दा,True
jardaa,जर्दा,जर्दा,True
zarda,जर्दा,जर्दा,True
jalbhrav,जलभराव,जलभराव,True
jasmeet,जसमीत,जसमीत,True
jasmit,जसमीत,जसमीत,True
jat,जात,जात,True
jin,जिन,जिन,True
jinee,जिनी,जिनी,True
jini,जिनी,जिनी,True
jeetod,जीतोड़,जीतोड़,True
jeewan,जीवन,जीवन,True
jiwan,जीवन,जीवन,True
jue,जुए,जुए,True
juti,जुटी,जुटी,True
