Input (Roman),Predicted (Devanagari),True (Devanagari),Match
antarmukh,अंतरमुख,अंतर्मुख,False
antrmukh,अंतरमुख,अंतर्मुख,False
akhand,आखांड,अखंड,False
akhil,आखिल,अखिल,False
agsta,असस्ता,अगस्ता,False
agra,अगरा,अग्र,False
atke,अटे,अटके,False
athak,अठक,अथक,False
advait,अदवात,अद्वैत,False
anaavashyak,अनावशशयक,अनावश्यक,False
anawashyak,आनावश्यक,अनावश्यक,False
anuprayogon,अनुप्रयोोो,अनुप्रयोगों,False
anupryogon,अनुप्रयोों,अनुप्रयोगों,False
anureet,अनुरित,अनुरीत,False
anyay,अन्ययय,अन्याय,False
anyaya,अन्याया,अन्याय,False
aparivartansheel,अपरिवर्थशीील,अपरिवर्तनशील,False
aparivartanshil,अपरिवर्थशीील,अपरिवर्तनशील,False
apvartit,अपवररतित,अपवर्तित,False
apaardarshi,अपरदर्शी,अपारदर्शी,False
afroj,अफरोजज,अफरोज,False
afroz,अफरोोज,अफरोज,False
amargad,अमररगड़,अमरगढ़,False
amargarh,अमररगढ़,अमरगढ़,False
amarohi,अमारोही,अमरोही,False
amuk,अमूक,अमुक,False
arbab,अरबबब,अरबाब,False
urgent,उर्जेंट,अर्जेंट,False
arth,आर्थ,अर्थ,False
aryama,आर्यामा,अर्यमा,False
alnkaron,अलंकररो,अलंकारों,False
algavwaadi,अल्गववादी,अलगाववादी,False
ali,एली,अली,False
alii,एली,अली,False
alba,अलबा,अल्बा,False
avantipur,अवंतपुर,अवंतिपुर,False
avishvaasniy,अविश्वसीीय,अविश्वसनीय,False
avishvasniy,अविश्वसीनय,अविश्वसनीय,False
avishvasniya,अविश्वसीनय,अविश्वसनीय,False
ashktta,आशक्तता,अशक्तता,False
aset,एसेट,असेट,False
aswbhavik,अस्वभभविक,अस्वभाविक,False
ounce,ओूएस,आउंस,False
aagaman,आगमान,आगमन,False
aagman,आगमान,आगमन,False
aatmayen,आत्मयं,आत्माएं,False
aamdan,आमदान,आमदन,False
aamdani,आमदानी,आमदनी,False
aayenge,आएंगे,आयेंगे,False
aaram,आरम,आराम,False
aalochakon,आलोककों,आलोचकों,False
aahnaan,आहाान,आह्नान,False
aahnan,आहना,आह्नान,False
ilaaj,इलाज़,इलाज,False
ishaaq,इशाा,इशाक,False
ea,इई,ईए,False
eater,इटर,ईटर,False
isaaiyon,ईसाईयों,ईसाइयों,False
isaiyon,ईसाईयों,ईसाइयों,False
uchhalane,उछाले,उछालने,False
uchhalne,उछलने,उछालने,False
uthne,उठाने,उठने,False
upadrawon,उपदर्वों,उपद्रवों,False
urf,उरफ,उर्फ,False
urff,उरफफ,उर्फ,False
urvarakon,उप्वराकों,उर्वरकों,False
urwarakon,उूरवारकों,उर्वरकों,False
usmen,उसमेें,उसमें,False
ekaki,एकाी,एकाकी,False
egmore,इजमोर,एगमोर,False
emerald,एमररल्ड,एमरल्ड,False
emil,इमिल,एमिल,False
eyarave,एयरव,एयरवे,False
allergic,एल्रजिक,एलर्जिक,False
sfc,एसएीसी,एसएफसी,False
ehsaas,इहसास,एहसास,False
ehsas,इहसा,एहसास,False
ail,ऐयल,ऐल,False
oxide,ऑक्सीइड,ऑक्साइड,False
obrayan,ऑबररयन,ओब्रायन,False
auchitya,औषित्य,औचित्य,False
aurora,औरोड़ा,औरोरा,False
kangan,कांगा,कंगन,False
kanblon,कांबलों,कंबलों,False
kanal,कानल,कनाल,False
kaningham,कणिंघम,कनिंघम,False
kanishthika,कणिष्ठिका,कनिष्ठिका,False
kanishthikaa,कणिष्ठिका,कनिष्ठिका,False
kanyaayen,कन्यायं,कन्याएं,False
kanyayen,कन्यययं,कन्याएं,False
convocation,कनोवकेशन,कन्वोकेशन,False
kamate,कमते,कमाते,False
kmere,कमरे,कमेरे,False
kasarat,कसारत,कसरत,False
kanji,कंंजी,कांजी,False
kaylana,कायलना,कायलाना,False
karybhar,कार्भभर,कार्यभार,False
qasim,क़ससिम,कासिम,False
kisaani,किसाी,किसानी,False
keede,कीडे,कीड़े,False
kundal,कुंदल,कुंडल,False
kumawat,कुमावट,कुमावत,False
kural,कुरल,कुराल,False
caitlyn,कैटलिनन,कैटलिन,False
cavity,केविटी,कैविटी,False
korola,कोरोल,कोरोला,False
krantiyon,क्रणंतियों,क्रांतियों,False
chrom,क्रमम,क्रोम,False
khajraana,खजजाना,खजराना,False
khate,खते,खाते,False
khal,खल,खाल,False
khinchakar,खींचाकर,खिंचकर,False
khinchkar,खींचकर,खिंचकर,False
khairati,खैरती,खैराती,False
gangajal,गंगाज,गंगाजल,False
gatisheel,गतीशील,गतिशील,False
gammat,गमममत,गम्मत,False
garjana,गरजना,गर्जना,False
gaanth,गांथ,गांठ,False
girjaghar,गिरजाघार,गिरजाघर,False
girati,गिराती,गिरती,False
guan,गुवान,गुआन,False
guthalidar,गुतललिदार,गुठलीदार,False
goyal,गोयाल,गोयल,False
greest,ग्रिस्ट,ग्रीस्ट,False
gross,ग्रोस,ग्रॉस,False
ghisi,घीसी,घिसी,False
ghontane,घोंटेन,घोंटने,False
chandan,चांदन,चंदन,False
chkkar,चककर,चक्कर,False
chatgaon,चत्गाओ,चटगांव,False
charit,चरिि,चरित,False
charts,चार्ट,चार्ट्स,False
chidchidapan,चिड़चिड़पन,चिड़चिड़ापन,False
chidhate,चिड़ते,चिढ़ते,False
chidhte,चीड़ते,चिढ़ते,False
chithrkar,चित्रकर,चित्रकार,False
chipakane,चिपकनन,चिपकने,False
chi,चि,ची,False
chuka,चूका,चुका,False
chetti,चेत्टी,चेट्टी,False
chowk,चोवक,चौक,False
chhagan,छाग,छगन,False
chhuptaa,छुपटा,छुपता,False
chhetr,छेतर,छेत्र,False
chhetthri,छेत्रही,छेत्री,False
jadein,जादें,जड़ें,False
jaden,जादें,जड़ें,False
janajagran,जनजाग्ररण,जनजागरण,False
janjaagran,जनजाग्रण,जनजागरण,False
jamati,जमतत,जमाती,False
jarakh,जरखख,जरख,False
zarakh,ज़रख,जरख,False
jarda,जरदा,जर्दा,False
jardaa,जरदा,जर्दा,False
zarda,जार्दा,जर्दा,False
jalbhrav,जलभभरव,जलभराव,False
jasmeet,जस्मीत,जसमीत,False
jasmit,जस्मित,जसमीत,False
jat,जाट,जात,False
jin,जीन,जिन,False
jinee,जीनी,जिनी,False
jini,जीनी,जिनी,False
jeetod,जीतोड,जीतोड़,False
jeewan,जीवान,जीवन,False
jiwan,जीवान,जीवन,False
jue,जूए,जुए,False
juti,जूटी,जुटी,False
junun,जुनुन,जुनून,False
jurab,जुरब,जुराब,False
jogging,जोगिंग,जॉगिंग,False
jvaron,ज्वरों,ज्वारों,False
jwaron,ज्ववरों,ज्वारों,False
jewellers,ज्वैलररस,ज्वेलर्स,False
jhil,झिल,झील,False
jhuthala,झूठला,झुठला,False
jhuthla,झूठला,झुठला,False
jhuthalane,झूठलाने,झुठलाने,False
taoo,ताओ,टाऊ,False
tau,ताउ,टाऊ,False
tip,टीप,टिप,False
tikon,टिकों,टीकों,False
tainin,तैनिन,टैनिन,False
tonga,टूंगा,टोंगा,False
truck,ट्रिक,ट्रक,False
thikane,ठीकाे,ठिकाने,False
daak,दाक,डाक,False
dhoondhata,ढूंधता,ढूंढता,False
dhundhata,ढूंधता,ढूंढता,False
dhundhta,ढूंधता,ढूंढता,False
tantrikao,तंत्रिकाओ,तंत्रिकाओं,False
tapan,तापन,तपन,False
tarkvaad,तरर्वाद,तर्कवाद,False
talawon,तलावों,तलवों,False
talvon,तलवांों,तलवों,False
tiwari,तिवाड़ी,तिवारी,False
tir,तिर,तीर,False
tungnath,तुनगनाथ,तुंगनाथ,False
tyauharon,त्याधारों,त्यौहारों,False
thanvi,ठनवी,थानवी,False
thirke,थीरके,थिरके,False
then,ठेन,थेन,False
thaili,थाली,थैली,False
danga,दंंग,दंगा,False
damoh,दामोह,दमोह,False
darjano,दरजजनों,दर्जनों,False
dahan,दहाँ,दहन,False
daakhil,दाखीलिल,दाखिल,False
daakhile,दाखीले,दाखिले,False
dayitv,दययि््व,दायित्व,False
dayitvon,दययत्वों,दायित्वों,False
dikhayi,दिखाईी,दिखाई,False
dita,दीता,दिता,False
deepn,दीप्,दीपन,False
durghtna,दुर्घटनता,दुर्घटना,False
devnar,देवनर,देवनार,False
devisinh,देविसिह,देवीसिंह,False
deshkal,देशका,देशकाल,False
dhakelte,ढकेलते,धकेलते,False
dhkelate,ढेलतते,धकेलते,False
dhankuber,धनकुबर,धनकुबेर,False
dhamkaataa,धमकता,धमकाता,False
dhaak,ढाक,धाक,False
dhaga,ढागा,धागा,False
dhaatuein,धातुें,धातुएं,False
dhaatuyein,धातुेें,धातुएं,False
dhrupad,ध्रुद,ध्रुपद,False
naksalavaad,नक्सवावाद,नक्सलवाद,False
naksalwaad,नकसलवाद,नक्सलवाद,False
naksalwad,नकसलवाद,नक्सलवाद,False
naksaliyon,नकसालियों,नक्सलियों,False
nagaadaa,नगगड़ा,नगाड़ा,False
nageene,नगीीन,नगीने,False
najeem,नजीीम,नजीम,False
najim,नजीमम,नजीम,False
nazeem,नजीीम,नजीम,False
namkeen,नमककीन,नमकीन,False
narsanharon,नरसंहहारों,नरसंहारों,False
navketan,नवकततन,नवकेतन,False
navjagran,नवजाग्रण,नवजागरण,False
nava,नवव,नवा,False
nasim,नसीमिम,नसीम,False
naakaam,नाकम,नाकाम,False
nitiyon,नीतियों,नितियों,False
nityaa,नित्य,नित्या,False
nirbaadh,निर्बद,निर्बाध,False
nishnaat,निश्नत,निष्णात,False
nihlaani,निह्लानी,निहलानी,False
nihalchand,निहाचंद,निहालचंद,False
neat,नीय,नीट,False
patakkar,पत्ककर,पटककर,False
patki,पत्की,पटकी,False
padha,पढा,पढ़ा,False
padhaa,पढा,पढ़ा,False
panpana,पापना,पनपना,False
panaamaa,पनमा,पनामा,False
paneer,पानिर,पनीर,False
pammi,पा्मी,पम्मी,False
parikalpit,परिकल्लित,परिकल्पित,False
purple,पर्््ल,पर्पल,False
paltane,पल्टने,पलटने,False
pahan,पहान,पहन,False
pehan,पहाा,पहन,False
pahantaa,पहंता,पहनता,False
pahante,पहंते,पहनते,False
pehnati,पहनती,पहनाती,False
pahani,पहानी,पहनी,False
pathykramon,पाठयक््मों,पाठ्यक्रमों,False
pintaa,पिंता,पिंटा,False
piega,पीएागा,पिएगा,False
pic,पीक,पिक,False
pik,पीक,पिक,False
piki,पीकी,पिकी,False
pigs,पिइ्स,पिग्स,False
pichde,पीछड़े,पिछड़े,False
pihani,पीहानी,पिहानी,False
pml,पीएलएल,पीएमएल,False
putul,पुटुल,पुतुल,False
punargathan,पुनर्गाथन,पुनर्गठन,False
puna,पुणा,पुना,False
pushpit,पुश्पित,पुष्पित,False
poojaapaath,पूजापठ,पूजापाठ,False
pendulum,पेंबुलम,पेंडुलम,False
pam,पाम,पैम,False
polimer,पालीमर,पॉलिमर,False
polymer,पॉलीयर,पॉलिमर,False
polish,पुलिश,पोलिश,False
pratibhutiyan,प्रतिभूतियों,प्रतिभूतियां,False
pravatti,प्रवत्ती,प्रवत्ति,False
prahlaad,प्रहललड,प्रहलाद,False
pranon,प्रणों,प्राणों,False
prathamik,प्राममिक,प्राथमिक,False
prapt,प्रपत्त,प्राप्त,False
prapta,प्रपत्,प्राप्त,False
programmers,प्रोग्रामर्सर,प्रोग्रामर्स,False
proto,प्रोोो,प्रोटो,False
fund,फुंड,फंड,False
fagua,फागु,फगुआ,False
phatane,फटाने,फटने,False
phatne,फटाने,फटने,False
phadphadata,फफ़ड़़ाता,फड़फड़ाता,False
fabti,फबतती,फब्ती,False
farheen,फरहीी,फरहीन,False
farhin,फरीहीं,फरहीन,False
phalibhoot,फलिभूत,फलीभूत,False
phaaph,फा,फाफ,False
fikra,फीक्ा,फिक्र,False
firti,फर्ती,फिरती,False
fislaa,फिस्ला,फिसला,False
failkar,फेलकर,फैलकर,False
fyuji,फ़जजी,फ्यूजी,False
fransiska,फ्रांसिस्क,फ्रांसिस्का,False
fransisko,फ्रांसीस्को,फ्रांसिस्को,False
friendship,फ्रेंदशशिप,फ्रेंडशिप,False
bang,बांग,बंग,False
bangbhang,बंगभांग,बंगभंग,False
bagichi,बागीची,बगीची,False
bajana,बजाना,बजना,False
batlaae,बतलाई,बतलाए,False
batlae,बतलाल,बतलाए,False
batlaye,बतलाय,बतलाए,False
batlaakar,बालाकार,बतलाकर,False
banam,बनम,बनाम,False
barsa,बरसस,बरसा,False
barsaataa,बरसता,बरसाता,False
barhad,बरहाद,बरहद,False
baraamad,बाामद,बरामद,False
baramde,बरमदे,बरामदे,False
bagiyon,बगियों,बागियों,False
bajuon,बाजूओं,बाजुओं,False
badh,बढ़,बाध,False
badhaon,बढ़ाओं,बाधाओं,False
barahmasi,बारमामसी,बारहमासी,False
bala,बाल,बाला,False
bavaji,बववजी,बावजी,False
bavra,बववरा,बावरा,False
bawara,बववररा,बावरा,False
baahulya,बाुल्ल्य,बाहुल्य,False
bikherati,बिखररती,बिखेरती,False
bichhua,बिचुआ,बिछुआ,False
bichhuaa,बिचुआ,बिछुआ,False
biji,बीजी,बिजी,False
bilhaur,बिलहहर,बिल्हौर,False
beemon,बीमोन,बीमों,False
beesavaan,बीसवान,बीसवां,False
beast,बेस्ट,बीस्ट,False
bull,बलल,बुल,False
bulletin,बुलेटीन,बुलेटिन,False
brijesh,बृजें,बृजेश,False
belinda,बेलिंदा,बेलिंडा,False
bodraa,बोद्र,बोदरा,False
bolane,बोलाने,बोलने,False
boliae,बोलिया,बोलिए,False
brajesh,ब्रेेश,ब्रजेश,False
britain,ब्रिटान,ब्रिटेन,False
bharani,भरणी,भरनी,False
bharni,भरणी,भरनी,False
bhate,भात,भाते,False
bhariy,भरीय,भारीय,False
bhaskar,भासकर,भास्कर,False
bheed,भीड,भीड़,False
bhulataa,भुलता,भूलता,False
bhulta,भुलता,भूलता,False
bhaunho,भौन्हों,भौंहों,False
bhraant,भ्रंत,भ्रांत,False
bhraanti,भ्रंती,भ्रांति,False
bhranti,भ्रंती,भ्रांति,False
bhraantiyan,भ्रंतियां,भ्रांतियां,False
bhrantiyan,भ्रंतियां,भ्रांतियां,False
bhraantiyon,भ्रंतियों,भ्रांतियों,False
bhrantiyon,भ्रंतियों,भ्रांतियों,False
mancheeye,मांचीय,मंचीय,False
manchiy,मांचीय,मंचीय,False
manzil,मंजीील,मंजिल,False
makrani,मकर्नी,मकरानी,False
marji,मार्जी,मर्जी,False
maryaadaa,मर्यदा,मर्यादा,False
masaledaar,मससलेदार,मसालेदार,False
masaledar,मसललेदार,मसालेदार,False
masse,मासे,मस्से,False
mahkane,महकाने,महकने,False
mahagranth,महाग्रांथ,महाग्रंथ,False
mhagranth,महागारांथ,महाग्रंथ,False
mhapauron,महापारों,महापौरों,False
mahamantr,महामंतर,महामंत्र,False
malish,मलीि,मालिश,False
mave,माव,मावे,False
mitao,मिताओ,मिटाओ,False
mungeri,मुंगरी,मुंगेरी,False
mundva,मुंदवा,मुंडवा,False
mundwa,मुंदवा,मुंडवा,False
mufalisi,मुफालिसी,मुफलिसी,False
mood,मूद,मूड,False
moodi,मूदी,मूडी,False
moody,मूद्य,मूडी,False
mular,मुलर,मूलर,False
melghat,मेलाघट,मेलघाट,False
melani,मेलनी,मेलानी,False
main,मैं,मैन,False
maine,मैनन,मैने,False
maisor,मैअसर,मैसोर,False
motive,मोटीव,मोटिव,False
mohani,मोहनी,मोहानी,False
yojanaein,योजनाइं,योजनाएं,False
raktaabh,रक्तभ,रक्ताभ,False
raghuram,रघुरराम,रघुराम,False
runners,रननर्स,रनर्स,False
rahenge,रहहंगे,रहेंगे,False
raakhe,रखे,राखे,False
rabha,रभभ,राभा,False
raalod,रालोड,रालोद,False
riggs,रिग््स,रिग्स,False
rishte,रिशते,रिश्ते,False
rihana,रिहान,रिहाना,False
rihanna,रिहन्ना,रिहाना,False
rita,रिता,रीता,False
roots,रुट्स,रूट्स,False
racer,रैसर,रेसर,False
racketier,रैकेटीर,रैकेटियर,False
raith,राठ,रैथ,False
royals,रोयल्स,रॉयल्स,False
ronaldo,रोनाललोड,रोनाल्डो,False
raubadaar,रौबाार,रौबदार,False
raubadar,रौबाार,रौबदार,False
laganewale,लगानेवाले,लगनेवाले,False
lahna,लाना,लहना,False
lehna,लेहना,लहना,False
lanchar,लानचार,लांचर,False
laegi,लागी,लाएगी,False
laati,लाटी,लाती,False
lati,लटी,लाती,False
leedaron,लीदररों,लीडरों,False
lurhakate,लुऱकते,लुढ़कते,False
lumding,लुमडििंग,लुमडिंग,False
lendal,लेंदल,लेंडल,False
letakar,लेटाकर,लेटकर,False
lanset,लैंसत,लैंसेट,False
longoval,लोनगोवाल,लोंगोवाल,False
lochdar,लोचडार,लोचदार,False
wonder,वंंर,वंडर,False
vajood,वाजूद,वजूद,False
wajood,वाजूद,वजूद,False
varn,वार्न,वर्ण,False
vartamaan,वा््मान,वर्तमान,False
vartaman,वा््मान,वर्तमान,False
verbal,वेरबल,वर्बल,False
vaangchuk,वांगूुक,वांगचुक,False
watanukoollan,वायानुक्लिन,वातानुकूलन,False
wireless,वारीलेस,वायरलेस,False
vikalpon,विकललपों,विकल्पों,False
vikramjeet,विक्रमाीत,विक्रमजीत,False
vidyaayein,विद्याईे,विद्याएं,False
