Input (Roman),Predicted (Devanagari),True (Devanagari),Match
ankit,अंकित,अंकित,True
angaarak,अंगारक,अंगारक,True
antarmukh,अंतरमुख,अंतर्मुख,False
antrmukh,अंतरमुख,अंतर्मुख,False
andha,अंधा,अंधा,True
andhapan,अंधापन,अंधापन,True
andheri,अंधेरी,अंधेरी,True
ambaani,अंबानी,अंबानी,True
akhand,आखांड,अखंड,False
akhil,आखिल,अखिल,False
agavai,अगवाई,अगवाई,True
agvaai,अगवाई,अगवाई,True
agsta,असस्ता,अगस्ता,False
agra,अगरा,अग्र,False
achambha,अचंभा,अचंभा,True
acchi,अच्छी,अच्छी,True
achchi,अच्छी,अच्छी,True
ajit,अजित,अजित,True
agyaat,अज्ञात,अज्ञात,True
agyat,अज्ञात,अज्ञात,True
atkata,अटकता,अटकता,True
atake,अटके,अटके,True
atke,अटे,अटके,False
athak,अठक,अथक,False
atharv,अथर्व,अथर्व,True
atharva,अथर्व,अथर्व,True
advait,अदवात,अद्वैत,False
adhivas,अधिवास,अधिवास,True
adhiwas,अधिवास,अधिवास,True
anant,अनंत,अनंत,True
anaavashyak,अनावशशयक,अनावश्यक,False
anavashyak,अनावश्यक,अनावश्यक,True
anawashyak,आनावश्यक,अनावश्यक,False
anik,अनिक,अनिक,True
anuchit,अनुचित,अनुचित,True
anuprayogon,अनुप्रयोोो,अनुप्रयोगों,False
anupryogon,अनुप्रयोों,अनुप्रयोगों,False
anureet,अनुरित,अनुरीत,False
anyaay,अन्याय,अन्याय,True
anyay,अन्ययय,अन्याय,False
anyaya,अन्याया,अन्याय,False
apnani,अपनानी,अपनानी,True
aparivartansheel,अपरिवर्थशीील,अपरिवर्तनशील,False
aparivartanshil,अपरिवर्थशीील,अपरिवर्तनशील,False
apariharya,अपरिहार्य,अपरिहार्य,True
apavartit,अपवर्तित,अपवर्तित,True
apvartit,अपवररतित,अपवर्तित,False
apaardarshi,अपरदर्शी,अपारदर्शी,False
afroj,अफरोजज,अफरोज,False
afroz,अफरोोज,अफरोज,False
abbaasi,अब्बासी,अब्बासी,True
abbasi,अब्बासी,अब्बासी,True
abhimat,अभिमत,अभिमत,True
amjhera,अमझेरा,अमझेरा,True
amargad,अमररगड़,अमरगढ़,False
amargarh,अमररगढ़,अमरगढ़,False
amarpaal,अमरपाल,अमरपाल,True
amarpal,अमरपाल,अमरपाल,True
amarohi,अमारोही,अमरोही,False
amrohi,अमरोही,अमरोही,True
amaanat,अमानत,अमानत,True
amanat,अमानत,अमानत,True
amaanati,अमानती,अमानती,True
amanati,अमानती,अमानती,True
amuk,अमूक,अमुक,False
arbab,अरबबब,अरबाब,False
around,अराउंड,अराउंड,True
urgent,उर्जेंट,अर्जेंट,False
arth,आर्थ,अर्थ,False
arpit,अर्पित,अर्पित,True
aryama,आर्यामा,अर्यमा,False
alankaar,अलंकार,अलंकार,True
alnkaar,अलंकार,अलंकार,True
alankaaron,अलंकारों,अलंकारों,True
alankaron,अलंकारों,अलंकारों,True
alnkaaron,अलंकारों,अलंकारों,True
alnkaron,अलंकररो,अलंकारों,False
algavwaadi,अल्गववादी,अलगाववादी,False
ali,एली,अली,False
alii,एली,अली,False
alba,अलबा,अल्बा,False
avantipur,अवंतपुर,अवंतिपुर,False
avarodhak,अवरोधक,अवरोधक,True
avrodhak,अवरोधक,अवरोधक,True
avrodhk,अवरोधक,अवरोधक,True
avarnata,अवर्णता,अवर्णता,True
avarnataa,अवर्णता,अवर्णता,True
avshisht,अवशिष्ट,अवशिष्ट,True
avasthaayen,अवस्थाएं,अवस्थाएं,True
avsthaen,अवस्थाएं,अवस्थाएं,True
avsthayen,अवस्थाएं,अवस्थाएं,True
awasthaen,अवस्थाएं,अवस्थाएं,True
avika,अविका,अविका,True
avishvaasniy,अविश्वसीीय,अविश्वसनीय,False
avishvasniy,अविश्वसीनय,अविश्वसनीय,False
avishvasniya,अविश्वसीनय,अविश्वसनीय,False
